id,comments,sentiment,class
0,thijshs take rest day birthday smile face,1,3
1,yo homies trihard,0,8
2,swiftrage100 happy kappa birthday,1,7
3,hey thijs hope are good hope have wonderful stream smile face love,1,3
4,lul not legend yet lul,1,8
5,heard decided trade kappa,1,3
6,thijshs when play deck cabal couriers are underwhelming unlucky,0,4
7,mrdestructoid,0,1
8,thijshs without alex deck exist,0,3
9,is better meteor another pyroblast,0,3
10,forsenh,0,1
11,blizzard plz nerf quest rogue wont buy packs notlikethis,-1,3
12,forsen sub (puke),0,8
13,recommend burn smorc,0,8
14,where is alex hahaa,0,4
15,hey thijshs smile face how are coming tell managed lose 35000g one half years feels good man,1,4
16,forsenx,0,1
17,best outcome kappa,1,8
18,wutface,-1,1
19,kappa,1,1
20,tru3oi tru3oi tru3oi,0,1
21,trihard,1,1
22,biggie smalls trihard,1,8
23,thijs1 thijs2,1,1
24,dansgame,-1,1
25,cmonbruh,0,1
26,trihard,1,1
27,thank feels good man clap,1,7
28,aight cuh cmonbruh,0,8
29,thijs3 thijs4,1,1
30,sharp gadgetzan steel hahaa,0,8
31,thijs1 thijs2,1,1
32,far blood cmonbruh,0,8
33,thijs2 thijs3,1,1
34,cmonbruh,0,1
35,want hard commit love food energy drinks haha,1,3
36,morning thijs climbing wild month,1,6
37,lul,1,1
38,pogchamp,1,1
39,lul,1,1
40,pogchamp,1,1
41,smorc,0,1
42,thats actually bad lol,1,3
43,7 mana minions are memes,0,3
44,pyro minion avoid dmg,0,3
45,8 mana drop 7 mana drop,0,3
46,thijs1 thijs2,1,1
47,10 10 smorc,0,8
48,thijshs next time have play hunter give elemental beast hunter try smile face,1,3
49,shall build murloc paladin,0,3
50,knnow feel took many attempts finally get really started,0,3
51,missed 20 dmg face smorc,0,3
52,free 1 4 opieop,0,8
53,brokeback,-1,1
54,mage dansgame kys thijshs,-1,8
55,amazscam amazscam amazscam amazscam,-1,1
56,pogchamp,1,1
57,yes best deck game,1,3
58,all play double brawl,0,3
59,game is not over,0,3
60,not over lul,1,8
61,elegiggle,1,1
62,lul,1,1
63,yeah older get harder is going told,0,3
64,thijs1 thijs2,1,1
65,top deck alex pogchamp,1,3
66,rekt,-1,1
67,thijs1 thijs2,1,1
68,think also depends how much want lose but heard aswell,0,4
69,thijs1 thijs2,1,1
70,thijs3 thijs4,1,1
71,lul,1,1
72,thijsrekt thijsrekt,1,1
73,value game hahaa,1,8
74,wutface,-1,1
75,kappa,1,1
76,forseno forsengun,0,1
77,wutface,-1,1
78,quest warrior is fun kappa,1,3
79,back rank 2 seemsgood,1,3
80,lost 4 pyroblast lul,1,3
81,good morning heyguys,1,6
82,pogchamp,1,1
83,brokeback,-1,1
84,im pretty big yeah haha got quite bit get rid need cut sugar diet,1,3
85,forsensleeper forsenx,0,1
86,opieop,0,1
87,danfat,0,1
88,opieop,0,1
89,good morning thijshs nice sweater is yesterday already kappa kidding keep love,1,6
90,thijsulu,1,1
91,heyguys hello thijshs,1,6
92,thijshs what would good alternative card bloodmage thalnos smile face,1,4
93,is concede synergie elemental beast hunter hahaa,1,3
94,lul,1,1
95,dansgame,-1,1
96,dansgame,-1,1
97,residentsleeper mage mirror,-1,8
98,forsent forsenknife forsene,0,1
99,thijsulu thijsulu thijsulu thijsulu thijsulu,1,1
100,thijs good morning bro,1,6
101,forsent forseno forsent,0,1
102,well done bruh,1,7
103,thijslento thijsulu,1,1
104,35 kg wutface,-1,8
105,forsene,0,1
106,gained 5 kg 2 years smile face,1,3
107,horsen subs 200017 lul,1,8
108,happy birthday thijshs feels birthday man,1,7
109,forsenddk forsenwhip,0,1
110,forsent forseno forsenc forsent forseno forsenc forsent forseno forsenc forsent forseno forsenc forsent forsen1 forsen2,0,1
111,good mourning smile face,1,6
112,forsen3,0,1
113,kappa kappa kappa kappa kappa,1,1
114,thedges is nice guy,1,3
115,forsenemote forsenrp,0,1
116,forsen emotes hahaa clap,1,8
117,forsentt forsene forseno forsenw,0,1
118,gained 35 kg 4 years,0,3
119,sugary drinks are killing every diet cut first start changing eating habits around,0,3
120,forsenboys,0,1
121,lul,1,1
122,thijsrope thijsrope2 thijsrope2 thijsrope2 thijsrope2,1,1
123,fishes is gr8 sabaping,0,3
124,forsenboys,0,1
125,forsen1,0,1
126,forsene,0,1
127,forsen1,0,1
128,thijshahaa thijshahaa thijshahaa thijshahaa,1,1
129,saw spring playoffs are alphen aan de rijn goes plan citytrip big dutch city unhappy,-1,3
130,forsene,0,1
131,forsengun,0,1
132,thijshello thijshello thijshello thijshello,1,1
133,thijshs why r playing asia,0,4
134,forsen subs 200017 dansgame,-1,8
135,yeah hard but ive got anyway im see around stream maybe,0,3
136,flame geyser kreygasm,1,8
137,forsen subs forsen lul,1,8
138,thijs1 thijs2,1,1
139,thijs3 thijs4,1,1
140,bye bye koncha,1,6
141,dansgame,-1,1
142,da boints wixt,0,8
143,morning thijs looking hench today seemsgood,1,6
144,asian server european champtionship : thinkinh :,1,3
145,forsenh,0,1
146,happy,1,1
147,amazw amaz amazw subs amazw united amazw,0,8
148,eu 1 no balls dansgame,-1,3
149,doctorjawline doctorslice doctorpunk,0,1
150,dansgame,-1,1
151,thijsthinking thijsthinking thijsthinking,1,1
152,thijsthinking thijsthinking thijsthinking thijsthinking,1,1
153,0 4sen boyz forsen lul,1,8
154,cannot get ladder eu qualify via asia,-1,3
155,thijshs savjzfeelsgood savjzhey,1,8
156,wtf is forsenh picture is not forsen,-1,3
157,thijshs good morning,1,6
158,trumpw,0,1
159,pot greed need,0,8
160,residentsleeper doctorsmc,-1,1
161,lul,1,1
162,forsene failfish,-1,1
163,what does card do kappa,1,4
164,thijshs also have birthday tomorrow pogchamp,1,3
165,kappa,1,1
166,thijshs is decklist rigged purpose mindgames streamsnipers hahaa,1,3
167,forsengasm forsenwhip forsenddk,0,1
168,forsene,0,1
169,seemsgood,1,1
170,lul,1,1
171,lul,1,1
172,lul,1,1
173,nice play thijs,1,7
174,failfish,-1,1
175,no racists yet feels bad man,-1,3
176,thijshs why does nobody play time warp mage,0,4
177,have keep mind lul,1,3
178,happy birthday smile face,1,7
179,thijshs why are not listening some music smile face,1,4
180,kappa,1,1
181,kappa kappa,1,1
182,kappa kappa kappa,1,1
183,kappa kappa,1,1
184,kappa,1,1
185,kappa,1,1
186,kappa,1,1
187,kappa,1,1
188,rman3955 but thijs is always listening different music bot says kappa,1,3
189,one man spam feels bad man,-1,3
190,thijshs have alphen seems like lot farmlands smile face,1,3
191,kappa,1,1
192,keepo,0,1
193,kappa,1,1
194,c 9 may pacani,0,8
195,kappa,1,1
196,coolstorybob,1,1
197,play gachi gachigasm,1,8
198,what music do like nerd,0,4
199,gachigasm,1,1
200,gachigasm,1,1
201,are right bro,0,8
202,kappa,1,1
203,listen gachi together gachigasm,1,8
204,no all love music thinjs,0,3
205,coolstorybob amazing coolstorybob,1,1
206,seemsgood,1,1
207,lul,1,1
208,gachigasm,1,1
209,kappa,1,1
210,pogchamp,1,1
211,kappa,1,1
212,exactly what did sourpls,0,4
213,always wins keepo,0,8
214,3 mana 7 7 pogchamp,1,8
215,actually pretty good point,1,3
216,gachigasm,1,1
217,free 7 7,0,8
218,jebaited,1,1
219,0 2 feels bad man,-1,8
220,4head,1,1
221,finally someone came idea smile face,1,3
222,wow can watch thijs while listening music wow pogchamp,1,3
223,gachigasm,1,1
224,3 mana 7 7,0,8
225,happy birthday feels birthday man,1,7
226,popping pimple pogchamp,1,8
227,must work enemy stand,0,3
228,failfish oh god,-1,8
229,failfish,-1,1
230,lul,1,1
231,thats nice know,1,3
232,smorc,0,1
233,trading 2017 lul,1,8
234,smorc,0,1
235,smorc,0,1
236,thijshs replacement meteor,0,3
237,thijshs why does nobody play exodia mage anymore,0,4
238,welcome hearthstone everything is aggressive lul,1,3
239,why trade dont need kappa,1,4
240,have ever seen martin garrix live thijshs,0,3
241,thijshs what do think replacing medivh yogg,0,4
242,happy birthday thijs kappa,1,7
243,because trump rated card 1 star,0,3
244,happy birthday kolento,1,7
245,dr 7 lul,1,8
246,13 btw hahaa feels birthday man,1,7
247,thijshs what do think replacing medivh yogg,0,4
248,thijshs why not yogg instead alex deck,0,4
249,brainslug,0,1
250,dansgame,-1,1
251,slow chat monkas,0,8
252,kappa,1,1
253,dansgame,-1,1
254,brainslug,0,1
255,pavelin book lul,1,8
256,kappa,1,1
257,jebaited,1,1
258,gachigasm,1,1
259,ooh bablink book kreygasm,1,8
260,pogchamp,1,1
261,gachigasm,1,1
262,gachigasm,1,1
263,hot loads gachigasm jebaited,1,1
264,kappa,1,1
265,gachigasm,1,1
266,kappa,1,1
267,gachigasm,1,1
268,jebaited,1,1
269,kappa gay chat,1,8
270,gachigasm,1,1
271,kappa,1,1
272,kappa,1,1
273,kappa,1,1
274,lidl subs failfish,-1,8
275,gachigasm,1,1
276,( gachigasm ) cmon man ( gachigasm ),1,1
277,gachigasm,1,1
278,giveplz giveplz giveplz giveplz giveplz,1,1
279,gachigasm,1,1
280,kappa kappa,1,1
281,happy birthday you(no),1,7
282,lidl subs forseny,0,8
283,lul,1,1
284,lul,1,1
285,happy birthday thijshs,1,7
286,why is gachi prominent hs,0,4
287,lul,1,1
288,kappa,1,1
289,rank 2 lul,1,8
290,rank 2 lul,1,8
291,tjis zahu do mikrof nu,0,9
292,rank 2 monkas,0,8
293,rank 2 lul,1,8
294,rank 2 lul,1,8
295,rank 2 forsens,0,8
296,elegiggle,1,1
297,rank 2 feels bad man,-1,8
298,monkas,0,1
299,lul,1,1
300,do like sex,0,3
301,no tilting today thijs kappa,1,3
302,rank 2 plays kappa,1,8
303,rank 2 streamer monkas,0,8
304,heyguys heyguys,1,1
305,monkas,0,1
306,presents kreygasm kappa,1,1
307,who is brazzers,0,4
308,happy birthday thijs,1,7
309,gachigasm,1,1
310,smile face,1,1
311,kolento backed rank2 monkas,0,8
312,is what get not playing blizzard,0,4
313,thijshs why not yogg instead alex deck,0,4
314,minglee,1,1
315,oskomodo oskomodo,0,1
316,gachigasm,1,1
317,kappa,1,1
318,gachigasm,1,1
319,fair mage list looks horrible wutface,-1,3
320,koncha hey thijs,0,6
321,gachigasm,1,1
322,monkas one man spam monkas,0,3
323,gachigasm,1,1
324,amazscam one amazscam man amazscam spam amazscam,-1,1
325,one man spam dansgame dansgame dansgame,-1,1
326,do not overuse monkas,0,3
327,mod plz wutface,-1,8
329,4head,1,1
330,wutface,-1,1
331,monkas,-1,1
332,p4nwy sub 200017 lul,1,8
333,lul,1,1
334,lul,1,1
335,lol,1,1
336,congratulations victory day guys,1,7
337,lul turn 2,1,8
338,lul,1,1
339,do not ban monkas,0,3
340,see dont pogchamp,1,3
341,lul,1,1
342,lul,1,1
343,should have picked secret,0,3
344,lul,1,1
345,good game concede lul,1,3
346,meta is fast deal,0,3
347,smorc,0,1
348,smorc smorc smorc,0,1
349,lul,1,1
350,concede druid seemsgood,1,3
351,coolstorybob,1,1
352,cancer meta kappa,1,3
353,coolstorybob,1,1
354,smorc smorc,0,1
355,thijshs did notice hit 300000 followers kalove,0,3
356,smorc,0,1
357,chat got rekt thijs kappa,1,3
358,where is youre legend hah argieb8,0,4
359,do think elise is good deck,0,3
360,kappa,1,1
361,smorc druid what pro,0,4
362,monkas climb wrong way,0,3
363,feels good man,1,3
364,are russians happy 9th may,0,4
365,feels birthday man,1,7
366,pjsalt,-1,1
367,gachigasm,1,1
368,brokeback,-1,1
369,doesnt play minion hes sniping,0,3
370,smorc good play,1,7
371,lul,1,1
372,lul,1,1
373,pogchamp,1,1
374,4head,1,1
375,thijshs why no win counter stream,0,4
376,lul,1,1
377,lul fair balanced game,1,3
378,lul,1,1
379,lul,1,1
380,brokeback brokeback,-1,1
381,dr 3 lul,1,8
382,0 3 lul,1,8
383,feels bad man,-1,3
384,well played lul,1,7
385,do not play control thjis meta,0,3
386,lul lul,1,1
387,hmm well played xd,1,7
388,feels niped man,0,8
389,good start kappa,1,3
390,destroyed money feels bad man,-1,3
391,maybe start clean another deck,0,3
392,haha yeah man doctor 3,1,3
393,crybaby druid is powerfull,0,3
394,thats why token druid is best deck climb,1,4
395,druids much highrolling lately,0,3
396,how morning far thijshs,0,4
397,babyrage babyrage babyrage,-1,1
398,kappa,1,1
399,thijsweeb thijsweeb,1,1
400,kappa,1,1
401,druid is new cancer deck another,0,3
402,monkas e excuse mr thijs sir climb wrong way,0,3
403,concede druid vs concede mage jebaited,1,3
404,heyguys almost birthday thijs,1,7
405,say name kappa,1,3
406,drood deck gas pathetic deck ever go all hope dont have answers people even enjoy,0,3
407,went rank 1 lul,1,3
408,birthday tomorrow mines today bloodtrail,1,3
409,hahaa great start btw hahaa,1,7
410,play reno priest,0,3
411,heyguys,1,1
412,thijshs why not run volcanic potion instead meteor much better aggro,0,4
413,happy almost birthday thijs perng,1,7
414,aggro druid became thing ungoro,0,3
415,drop meteor plz takenrg takenrg,1,3
416,reverse climbing kappa,1,8
417,kappa,1,1
418,copythis copythis copythis copythis,0,1
419,pogchamp,1,1
420,thijshs is gunther mage still tier 1 is fav deck atm,0,3
421,savjzreno savjzreno savjzreno savjzreno,0,1
422,feels birthday man,1,7
423,kazakus priest is actually good ebven without reno thijshs,0,3
424,dad beats feels bad man mom beats feels bad man brother beats feels bad man sister beats feels bad man least feel safe thijs because cannot beat anyone feels good man,-1,3
425,thijshs what do think replacing medivh yogg,0,4
426,druid 2017 hahaa,1,8
427,thijs when is birthday,0,4
428,zeddyhs use meteor volcanic potion cut sorcerer apprentice,0,3
429,faced 5 jade druid roll today,0,3
430,happy,1,1
431,thijshs when playing discover mage vs paladin should frostbolt vilefin t2 hold warleader,0,3
432,morning thijs hows going,1,7
433,cmonbruh,0,1
434,dad beats feels bad man mom beats feels bad man brother beats feels bad man sister beats feels bad man least feel safe thijs because cannot beat anyone feels good man,-1,3
435,cut apprentice run ooze volcanic no meteor,0,3
436,feels good man,1,7
437,thijshs what do think replacing medivh yogg medivh seems slow when behind unnecessary when ahead,0,4
438,forsent hold line,0,3
439,feels bad man,-1,3
440,yeah would say jade druid is popular aggro right,0,3
441,forsent hold line,0,3
442,coolstorybob,1,1
443,run ooze polymorph no babbling books but not sure right,0,3
444,smorc smorc smorc smorc,0,1
445,coolstorybob do continue,1,3
446,forsent forsent forsent forsent,0,1
447,pogchamp,1,1
448,are winning thats all matters,0,3
449,nice name lul,1,8
450,lul,1,1
451,is gunther mage still tier 1 is fav deck atm thijshs,0,4
452,lul,1,1
453,zeddyhs made dozen games rank 9 dunno gonna work funny,0,3
454,totally butchered lul,1,8
455,kappa,1,1
456,is control mage,0,3
457,xd dat pronounciation tho cmon thijs,0,3
458,xd xd xd xd xddxd,1,1
459,thijshs try sytrax mage,0,3
460,monkas cannot pronounce name,-1,3
461,azure drake cmonbruh,0,8
462,forsenwut hold wut,0,8
463,trihard,1,1
464,why deck called gunther mage kappa,1,4
465,pogchamp,1,1
466,kappa,1,1
467,cmonbruh,0,1
468,kappa,1,1
469,replace thalnos wit millhouse helps miracle rogue kappa kappa kappa kappa,1,3
470,could pm link,0,3
471,named player made,0,3
472,conceding might better,0,3
473,4head,1,1
474,happy birthday streams are making starting revision morning much easier,1,7
475,kappa,1,1
476,next time might call valeera short hearthstone form keepo,0,3
477,jade druid is brokeback,-1,3
478,s1lverowl,0,1
